Field_ID,Species,LiveSeed_Per_Acre,Origin,
Gage11054,Schizachyrium scoparium,0.25,NE,
Gage11054,Koeleria macrantha,0.015,WA,
Gage11054,Sporobolus compositus,0.015,IA,
Gage11054,Bouteloua curtipendula,0.25,NE,
Gage11054,Rudbeckia hirta,0.01,OR,
Gage11054,Artemisia ludoviciana,0.005,WY,
Gage11054,Silphium perfoliatum,0.03,IA,
Gage11054,Penstemon digitalis,0.005,WI,
Gage11054,Artemisia frigida,0.008,MT,
Gage11054,Zizia aurea,0.03,IA,
Gage11054,Verbena stricta,0.02,IA,
Gage11054,Monarda citriodora,0.02,TX,
Gage11054,Echinacea pallida,0.05,NE,
Gage11054,Rosa arkansana,0.001,NE,
Gage11054,Echinacea purpurea,0.08,OR,
Gage11054,Dalea purpurea,0.15,IA,
Gage11054,Liatris aspera,0.005,IA,
Gage11054,Lespedeza capitata,0.01,IA,
Gage11054,Sphaeralcea coccinea,0.003,UT,
Gage11054,Mimosa nuttallii,0.02,MO,
Gage11054,Chamaecrista fasciculata,0.2,IA,
Gage11054,Symphyotrichum laeve,0.01,IA,
Gage11054,Eupatorium altissimum,0.005,IA,
Gage11054,Liatris pycnostachya,0.01,IA,
Gage11054,Ratibida columnifera,0.08,OR,
Gage11054,Symphyotrichum ericoides,0.002,IA,
Gage11054,Dalea candida,0.15,MN,
Gage11054,Monarda fistulosa,0.01,IA,
Gage11054,Asclepias tuberosa,0.05,CA,
Gage11054,Amorpha canescens,0.05,NE,
Gage11054,Desmanthus illinoensis,0.1,IA,
Gage11054,Oenothera rhombipetala,0.005,NE,
Gage11054,Penstemon grandiflorus,0.01,NE,
Gage11054,Ceanothus americanus,0.005,IA,
Gage11054,Ratibida columnifera,0.02,OR,
Gage11054,Liatris spicata,0.005,NL - Netherlands?,
Gage11054,Symphyotrichum novae-angliae,0.005,CO,
Gage11054,Achillea millefolium,0.005,NL - Netherlands?,
Gage11054,Coreopsis tinctoria,0.02,OR,
Gage11054,Coreopsis tinctoria,0.01,OR,
Gage11054,Trifolium pratense,0.18,OR,
Johnson110261,Koeleria macrantha,0.025,NA,
Johnson110261,Bouteloua curtipendula,0.3,NA,
Johnson110261,Bouteloua gracilis,0.05,NA,
Johnson110261,Rudbeckia hirta,0.04,NA,
Johnson110261,Gaillardia aristata,0.3,NA,
Johnson110261,Artemisia ludoviciana,0.01,NA,
Johnson110261,Ratibida pinnata,0.05,NA,
Johnson110261,Ratibida columnifera,0.1,NA,
Johnson110261,Symphyotrichum novae-angliae,0.04,NA,
Johnson110261,Tradescantia ohiensis,0.04,NA,
Johnson110261,Dalea purpurea,0.2,NA,
Johnson110261,Eryngium yuccifolium,0.05,NA,
Johnson110261,Ratibida columnifera,0.03,NA,
Johnson110261,Achillea millefolium,0.02,NA,
Johnson110261,Monarda fistulosa,0.02,NA,
Johnson110262,Koeleria macrantha,0.025,NA,
Johnson110262,Bouteloua curtipendula,0.3,NA,
Johnson110262,Bouteloua gracilis,0.05,NA,
Johnson110262,Rudbeckia hirta,0.04,NA,
Johnson110262,Gaillardia aristata,0.3,NA,
Johnson110262,Artemisia ludoviciana,0.01,NA,
Johnson110262,Ratibida pinnata,0.05,NA,
Johnson110262,Ratibida columnifera,0.1,NA,
Johnson110262,Symphyotrichum novae-angliae,0.04,NA,
Johnson110262,Tradescantia ohiensis,0.04,NA,
Johnson110262,Dalea purpurea,0.2,NA,
Johnson110262,Eryngium yuccifolium,0.05,NA,
Johnson110262,Ratibida columnifera,0.03,NA,
Johnson110262,Achillea millefolium,0.02,NA,
Johnson110262,Monarda fistulosa,0.02,NA,
Gage11060,Schizachyrium scoparium,0.3125,NA,
Gage11060,Koeleria macrantha,0.01875,NA,
Gage11060,Sporobolus compositus,0.01875,NA,
Gage11060,Bouteloua curtipendula,0.3125,NA,
Gage11060,Rudbeckia hirta,0.0125,NA,
Gage11060,Artemisia ludoviciana,0.00625,NA,
Gage11060,Silphium perfoliatum,0.0375,NA,
Gage11060,Penstemon digitalis,0.00625,NA,
Gage11060,Artemisia frigida,0.01,NA,
Gage11060,Zizia aurea,0.0375,NA,
Gage11060,Verbena stricta,0.025,NA,
Gage11060,Monarda citriodora,0.025,NA,
Gage11060,Echinacea pallida,0.0625,NA,
Gage11060,Rosa arkansana,0.00125,NA,
Gage11060,Echinacea purpurea,0.1,NA,
Gage11060,Dalea purpurea,0.1875,NA,
Gage11060,Liatris aspera,0.00625,NA,
Gage11060,Lespedeza capitata,0.0125,NA,
Gage11060,Sphaeralcea coccinea,0.00375,NA,
Gage11060,Mimosa nuttallii,0.025,NA,
Gage11060,Chamaecrista fasciculata,0.25,NA,
Gage11060,Symphyotrichum laeve,0.0125,NA,
Gage11060,Eupatorium altissimum,0.00625,NA,
Gage11060,Liatris pycnostachya,0.0125,NA,
Gage11060,Ratibida columnifera,0.1,NA,
