Index,Field_ID,Species,LiveSeed_Concentration,Origin
1,Gage11054,Schizachyrium scoparium,0.25,NE
2,Gage11054,Koeleria macrantha,0.015,WA
3,Gage11054,Sporobolus compositus,0.015,IA
4,Gage11054,Bouteloua curtipendula,0.25,NE
5,Gage11054,Rudbeckia hirta,0.01,OR
6,Gage11054,Artemisia ludoviciana,0.005,WY
7,Gage11054,Silphium perfoliatum,0.03,IA
8,Gage11054,Penstemon digitalis,0.005,WI
9,Gage11054,Artemisia frigida,0.008,MT
10,Gage11054,Zizia aurea,0.03,IA
11,Gage11054,Verbena stricta,0.02,IA
12,Gage11054,Monarda citriodora,0.02,TX
13,Gage11054,Echinacea pallida,0.05,NE
14,Gage11054,Rosa arkansana,0.001,NE
15,Gage11054,Echinacea purpurea,0.08,OR
16,Gage11054,Dalea purpurea,0.15,IA
17,Gage11054,Liatris aspera,0.005,IA
18,Gage11054,Lespedeza capitata,0.01,IA
19,Gage11054,Sphaeralcea coccinea,0.003,UT
20,Gage11054,Mimosa nuttallii,0.02,MO
21,Gage11054,Chamaecrista fasciculata,0.2,IA
22,Gage11054,Symphyotrichum laeve,0.01,IA
23,Gage11054,Eupatorium altissimum,0.005,IA
24,Gage11054,Liatris pycnostachya,0.01,IA
25,Gage11054,Ratibida columnifera,0.08,OR
26,Gage11054,Symphyotrichum ericoides,0.002,IA
27,Gage11054,Dalea candida,0.15,MN
28,Gage11054,Monarda fistulosa,0.01,IA
29,Gage11054,Asclepias tuberosa,0.05,CA
30,Gage11054,Amorpha canescens,0.05,NE
31,Gage11054,Desmanthus illinoensis,0.1,IA
32,Gage11054,Oenothera rhombipetala,0.005,NE
33,Gage11054,Penstemon grandiflorus,0.01,NE
34,Gage11054,Ceanothus americanus,0.005,IA
35,Gage11054,Ratibida columnifera,0.02,OR
36,Gage11054,Liatris spicata,0.005,NL - Netherlands?
37,Gage11054,Symphyotrichum novae-angliae,0.005,CO
38,Gage11054,Achillea millefolium,0.005,NL - Netherlands?
39,Gage11054,Coreopsis tinctoria,0.02,OR
40,Gage11054,Coreopsis tinctoria,0.01,OR
41,Gage11054,Trifolium pratense,0.18,OR
42,Johnson110261,Koeleria macrantha,0.025,NA
43,Johnson110261,Bouteloua curtipendula,0.3,NA
44,Johnson110261,Bouteloua gracilis,0.05,NA
45,Johnson110261,Rudbeckia hirta,0.04,NA
46,Johnson110261,Gaillardia aristata,0.3,NA
47,Johnson110261,Artemisia ludoviciana,0.01,NA
48,Johnson110261,Ratibida pinnata,0.05,NA
49,Johnson110261,Ratibida columnifera,0.1,NA
50,Johnson110261,Symphyotrichum novae-angliae,0.04,NA
51,Johnson110261,Tradescantia ohiensis,0.04,NA
52,Johnson110261,Dalea purpurea,0.2,NA
53,Johnson110261,Eryngium yuccifolium,0.05,NA
54,Johnson110261,Ratibida columnifera,0.03,NA
55,Johnson110261,Achillea millefolium,0.02,NA
56,Johnson110261,Monarda fistulosa,0.02,NA
57,Johnson110262,Koeleria macrantha,0.025,NA
58,Johnson110262,Bouteloua curtipendula,0.3,NA
59,Johnson110262,Bouteloua gracilis,0.05,NA
60,Johnson110262,Rudbeckia hirta,0.04,NA
61,Johnson110262,Gaillardia aristata,0.3,NA
62,Johnson110262,Artemisia ludoviciana,0.01,NA
63,Johnson110262,Ratibida pinnata,0.05,NA
64,Johnson110262,Ratibida columnifera,0.1,NA
65,Johnson110262,Symphyotrichum novae-angliae,0.04,NA
66,Johnson110262,Tradescantia ohiensis,0.04,NA
67,Johnson110262,Dalea purpurea,0.2,NA
68,Johnson110262,Eryngium yuccifolium,0.05,NA
69,Johnson110262,Ratibida columnifera,0.03,NA
70,Johnson110262,Achillea millefolium,0.02,NA
71,Johnson110262,Monarda fistulosa,0.02,NA
72,Gage11060,Schizachyrium scoparium,0.3125,NA
73,Gage11060,Koeleria macrantha,0.01875,NA
74,Gage11060,Sporobolus compositus,0.01875,NA
75,Gage11060,Bouteloua curtipendula,0.3125,NA
76,Gage11060,Rudbeckia hirta,0.0125,NA
77,Gage11060,Artemisia ludoviciana,0.00625,NA
78,Gage11060,Silphium perfoliatum,0.0375,NA
79,Gage11060,Penstemon digitalis,0.00625,NA
80,Gage11060,Artemisia frigida,0.01,NA
81,Gage11060,Zizia aurea,0.0375,NA
82,Gage11060,Verbena stricta,0.025,NA
83,Gage11060,Monarda citriodora,0.025,NA
84,Gage11060,Echinacea pallida,0.0625,NA
85,Gage11060,Rosa arkansana,0.00125,NA
86,Gage11060,Echinacea purpurea,0.1,NA
87,Gage11060,Dalea purpurea,0.1875,NA
88,Gage11060,Liatris aspera,0.00625,NA
89,Gage11060,Lespedeza capitata,0.0125,NA
90,Gage11060,Sphaeralcea coccinea,0.00375,NA
91,Gage11060,Mimosa nuttallii,0.025,NA
92,Gage11060,Chamaecrista fasciculata,0.25,NA
93,Gage11060,Symphyotrichum laeve,0.0125,NA
94,Gage11060,Eupatorium altissimum,0.00625,NA
95,Gage11060,Liatris pycnostachya,0.0125,NA
96,Gage11060,Ratibida columnifera,0.1,NA
97,Gage11060,Symphyotrichum ericoides,0.0025,IA
98,Gage11060,Dalea candida,0.1875,MN
99,Gage11060,Monarda fistulosa,0.0125,IA
100,Gage11060,Asclepias tuberosa,0.0625,CA
101,Gage11060,Amorpha canescens,0.0625,NE
102,Gage11060,Desmanthus illinoensis,0.125,IA
103,Gage11060,Oenothera rhombipetala,0.00625,NE
104,Gage11060,Penstemon grandiflorus,0.0125,NE
105,Gage11060,Ceanothus americanus,0.00625,IA
106,Gage11060,Ratibida columnifera,0.025,OR
107,Gage11060,Liatris spicata,0.00625,NL - Netherlands?
108,Gage11060,Symphyotrichum novae-angliae,0.00625,CO
109,Gage11060,Achillea millefolium,0.00625,NL - Netherlands?
110,Gage11060,Coreopsis tinctoria,0.025,OR
111,Gage11060,Coreopsis tinctoria,0.0125,OR
112,Gage11060,Trifolium pratense,0.225,OR
113,Gage11018A,Schizachyrium scoparium,0.3125,NA
114,Gage11018A,Koeleria macrantha,0.01875,NA
115,Gage11018A,Sporobolus compositus,0.01875,NA
116,Gage11018A,Bouteloua curtipendula,0.3125,NA
117,Gage11018A,Rudbeckia hirta,0.0125,NA
118,Gage11018A,Artemisia ludoviciana,0.00625,NA
119,Gage11018A,Silphium perfoliatum,0.0375,NA
120,Gage11018A,Penstemon digitalis,0.00625,NA
121,Gage11018A,Artemisia frigida,0.01,NA
122,Gage11018A,Zizia aurea,0.0375,NA
123,Gage11018A,Verbena stricta,0.025,NA
124,Gage11018A,Monarda citriodora,0.025,NA
125,Gage11018A,Echinacea pallida,0.0625,NA
126,Gage11018A,Rosa arkansana,0.00125,NA
127,Gage11018A,Echinacea purpurea,0.1,NA
128,Gage11018A,Dalea purpurea,0.1875,NA
129,Gage11018A,Liatris aspera,0.00625,NA
130,Gage11018A,Lespedeza capitata,0.0125,NA
131,Gage11018A,Sphaeralcea coccinea,0.00375,NA
132,Gage11018A,Mimosa nuttallii,0.025,NA
133,Gage11018A,Chamaecrista fasciculata,0.25,NA
134,Gage11018A,Symphyotrichum laeve,0.0125,NA
135,Gage11018A,Eupatorium altissimum,0.00625,NA
136,Gage11018A,Liatris pycnostachya,0.0125,NA
137,Gage11018A,Ratibida columnifera,0.1,NA
138,Gage11018A,Symphyotrichum ericoides,0.0025,IA
139,Gage11018A,Dalea candida,0.1875,MN
140,Gage11018A,Monarda fistulosa,0.0125,IA
141,Gage11018A,Asclepias tuberosa,0.0625,CA
142,Gage11018A,Amorpha canescens,0.0625,NE
143,Gage11018A,Desmanthus illinoensis,0.125,IA
144,Gage11018A,Oenothera rhombipetala,0.00625,NE
145,Gage11018A,Penstemon grandiflorus,0.0125,NE
146,Gage11018A,Ceanothus americanus,0.00625,IA
147,Gage11018A,Ratibida columnifera,0.025,OR
148,Gage11018A,Liatris spicata,0.00625,NL - Netherlands?
149,Gage11018A,Symphyotrichum novae-angliae,0.00625,CO
150,Gage11018A,Achillea millefolium,0.00625,NL - Netherlands?
151,Gage11018A,Coreopsis tinctoria,0.025,OR
152,Gage11018A,Coreopsis tinctoria,0.0125,OR
153,Gage11018A,Trifolium pratense,0.225,OR
154,Harlan11008A,Penstemon grandiflorus,0.01,NE
155,Harlan11008A,Eupatorium perfoliatum,0.005,NE
156,Harlan11008A,Brickellia eupatorioides,0.005,IA
157,Harlan11008A,Asclepias syriaca,0.03,USA
158,Harlan11008A,Amorpha canescens,0.02,NE
159,Harlan11008A,Bouteloua gracilis,0.05,MN
160,Harlan11008A,Gaillardia aristata,0.05,CO
161,Harlan11008A,Andropogon gerardii,0.4,MO
162,Harlan11008A,Baptisia alba,0.01,IA
163,Harlan11008A,Coreopsis lanceolata,0.06,CO
164,Harlan11008A,Dalea purpurea,0.15,KS
165,Harlan11008A,Koeleria macrantha,0.01,CAN
166,Harlan11008A,Schizachyrium scoparium,0.3,MO
167,Harlan11008A,Bouteloua curtipendula,0.4,KS
168,Harlan11008A,Oenothera rhombipetala,0.01,NE
169,Harlan11008A,Verbena stricta,0.03,NE
170,Harlan11008A,Symphyotrichum ericoides,0.001,IA
171,Harlan11008A,Ratibida pinnata,0.1,IA
172,Harlan11008A,Artemisia ludoviciana,0.005,CO
173,Harlan11008A,Vicia americana,0.1,FL
174,Harlan11008A,Astragalus canadensis,0.06,MN
175,Harlan11008A,Rudbeckia hirta,0.04,USA
176,Harlan11008A,Symphyotrichum oblongifolium,0.005,PA
177,Harlan11008A,Oenothera biennis,0.04,IA
178,Harlan11008A,Trifolium pratense,0.3,USA
179,Harlan11008A,Dalea candida,0.1,MN
180,Harlan11008A,Achillea millefolium,0.03,USA
181,Harlan11008A,Pycnanthemum virginianum,0.005,USA
182,Harlan11008A,Ratibida columnifera,0.05,CO
183,Harlan11008A,Solidago rigida,0.01,USA
184,Harlan11008A,Desmanthus illinoensis,0.1,NE
185,Harlan11008A,Chamaecrista fasciculata,0.2,KS
186,Harlan11008A,Coreopsis tinctoria,0.03,OR
187,Harlan11008A,Salvia azurea,0.01,OK
188,Harlan11008A,Monarda citriodora,0.03,USA
189,Harlan11008A,Monarda fistulosa,0.02,IA
190,Harlan11007A,Penstemon grandiflorus,0.01,NE
191,Harlan11007A,Eupatorium perfoliatum,0.005,NE
192,Harlan11007A,Brickellia eupatorioides,0.005,IA
193,Harlan11007A,Asclepias syriaca,0.03,USA
194,Harlan11007A,Amorpha canescens,0.02,NE
195,Harlan11007A,Bouteloua gracilis,0.05,MN
196,Harlan11007A,Gaillardia aristata,0.05,CO
197,Harlan11007A,Andropogon gerardii,0.4,MO
198,Harlan11007A,Baptisia alba,0.01,IA
199,Harlan11007A,Coreopsis lanceolata,0.06,CO
200,Harlan11007A,Dalea purpurea,0.15,KS
201,Harlan11007A,Koeleria macrantha,0.01,CAN
202,Harlan11007A,Schizachyrium scoparium,0.3,MO
203,Harlan11007A,Bouteloua curtipendula,0.4,KS
204,Harlan11007A,Oenothera rhombipetala,0.01,NE
205,Harlan11007A,Verbena stricta,0.03,NE
206,Harlan11007A,Symphyotrichum ericoides,0.001,IA
207,Harlan11007A,Ratibida pinnata,0.1,IA
208,Harlan11007A,Artemisia ludoviciana,0.005,CO
209,Harlan11007A,Vicia americana,0.1,FL
210,Harlan11007A,Astragalus canadensis,0.06,MN
211,Harlan11007A,Rudbeckia hirta,0.04,USA
212,Harlan11007A,Symphyotrichum oblongifolium,0.005,PA
213,Harlan11007A,Oenothera biennis,0.04,IA
214,Harlan11007A,Trifolium pratense,0.3,USA
215,Harlan11007A,Dalea candida,0.1,MN
216,Harlan11007A,Achillea millefolium,0.03,USA
217,Harlan11007A,Pycnanthemum virginianum,0.005,USA
218,Harlan11007A,Ratibida columnifera,0.05,CO
219,Harlan11007A,Solidago rigida,0.01,USA
220,Harlan11007A,Desmanthus illinoensis,0.1,NE
221,Harlan11007A,Chamaecrista fasciculata,0.2,KS
222,Harlan11007A,Coreopsis tinctoria,0.03,OR
223,Harlan11007A,Salvia azurea,0.01,OK
